epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38.5771,0.51336,0.46595,0.97722,0.95783,0.79408,0.8967,0.79766,0.48304,0.46315,0.93588,0.000741194,0.000741194,0.000741194
43,39.4682,0.51339,0.45782,0.99332,0.93302,0.83933,0.8949,0.81733,0.45817,0.45062,0.92663,0.000729725,0.000729725,0.000729725
44,40.2413,0.51528,0.46218,0.98522,0.89908,0.85693,0.89709,0.82081,0.45495,0.43931,0.92386,0.000718103,0.000718103,0.000718103
45,41.0133,0.49906,0.45827,0.99371,0.9797,0.82809,0.89825,0.81129,0.42842,0.41328,0.91009,0.000706335,0.000706335,0.000706335
46,42.0676,0.5118,0.48803,1.00569,0.97763,0.81308,0.90385,0.81872,0.41967,0.4407,0.90531,0.000694428,0.000694428,0.000694428
47,42.8435,0.48394,0.45877,0.95897,0.9451,0.82027,0.90267,0.82872,0.42163,0.44099,0.90775,0.000682392,0.000682392,0.000682392
48,43.6381,0.48405,0.44525,0.98146,0.95857,0.82525,0.90705,0.8255,0.4314,0.43846,0.91414,0.000670234,0.000670234,0.000670234
49,44.4097,0.48677,0.45458,0.97586,0.9627,0.81986,0.90604,0.82813,0.43509,0.43473,0.91635,0.000657963,0.000657963,0.000657963
50,45.2171,0.48408,0.45403,0.96717,0.95208,0.81302,0.89344,0.82397,0.44802,0.41998,0.89561,0.000645588,0.000645588,0.000645588
51,45.9757,0.45832,0.42144,0.97373,0.96789,0.78076,0.87944,0.80372,0.45011,0.42854,0.89342,0.000633115,0.000633115,0.000633115
52,46.8337,0.48808,0.40563,0.97282,0.96681,0.79251,0.86407,0.7957,0.43882,0.41311,0.90219,0.000620555,0.000620555,0.000620555
53,47.6049,0.46018,0.40504,0.93522,0.96842,0.79773,0.86781,0.79268,0.42634,0.41912,0.90448,0.000607916,0.000607916,0.000607916
54,48.4748,0.47941,0.42321,0.9753,0.95346,0.80615,0.87729,0.80278,0.42651,0.40252,0.90734,0.000595207,0.000595207,0.000595207
55,49.2469,0.48613,0.40313,0.98433,0.9165,0.86177,0.89565,0.82385,0.42262,0.36518,0.9052,0.000582435,0.000582435,0.000582435
56,50.0131,0.47403,0.42271,0.95917,0.99987,0.83417,0.90009,0.83037,0.41069,0.3458,0.89672,0.00056961,0.00056961,0.00056961
57,50.7784,0.45767,0.43566,0.95854,0.99275,0.86066,0.90372,0.83845,0.40375,0.34982,0.88293,0.000556742,0.000556742,0.000556742
58,52.0693,0.45235,0.42045,0.95821,0.96004,0.87993,0.9045,0.83897,0.41062,0.37218,0.8867,0.000543837,0.000543837,0.000543837
59,53.3052,0.47761,0.40894,0.98211,0.96141,0.87993,0.9051,0.83047,0.42017,0.38477,0.89552,0.000530906,0.000530906,0.000530906
60,54.1799,0.47033,0.4049,0.9593,0.96411,0.88683,0.90968,0.82632,0.42777,0.39305,0.89741,0.000517958,0.000517958,0.000517958
61,55.0095,0.4627,0.41293,0.96488,0.97564,0.87069,0.90718,0.83918,0.41113,0.3759,0.88761,0.000505,0.000505,0.000505
62,56.6341,0.46019,0.41898,0.97243,0.96138,0.87306,0.89776,0.82823,0.39092,0.3793,0.88551,0.000492042,0.000492042,0.000492042
63,57.4325,0.44536,0.38587,0.95988,0.92864,0.87306,0.90106,0.82602,0.39616,0.38587,0.87948,0.000479094,0.000479094,0.000479094
64,58.2007,0.45842,0.38453,0.94314,0.94797,0.86099,0.90109,0.82847,0.39806,0.38062,0.87864,0.000466163,0.000466163,0.000466163
65,58.9647,0.43372,0.36596,0.95397,0.97269,0.85094,0.90245,0.83509,0.3961,0.36633,0.8774,0.000453258,0.000453258,0.000453258
66,59.7486,0.42347,0.3802,0.94365,0.918,0.86295,0.89944,0.83583,0.37907,0.36332,0.86983,0.00044039,0.00044039,0.00044039
67,60.5336,0.43019,0.38513,0.94702,0.97551,0.81915,0.89693,0.83477,0.3843,0.35884,0.87461,0.000427565,0.000427565,0.000427565
68,61.3053,0.43462,0.36426,0.95265,0.96534,0.83154,0.90006,0.83544,0.38732,0.34421,0.87439,0.000414793,0.000414793,0.000414793
69,62.1103,0.44078,0.37122,0.96031,0.98832,0.83054,0.90124,0.83724,0.39048,0.34377,0.88309,0.000402084,0.000402084,0.000402084
70,63.0219,0.41702,0.35619,0.9462,0.92627,0.89178,0.90443,0.83256,0.39265,0.3418,0.89298,0.000389445,0.000389445,0.000389445
71,63.796,0.42635,0.35723,0.96502,0.93973,0.89274,0.90014,0.82682,0.38807,0.34097,0.88958,0.000376885,0.000376885,0.000376885
72,64.658,0.38831,0.35635,0.91684,0.94742,0.87152,0.89935,0.83542,0.37864,0.34594,0.88518,0.000364412,0.000364412,0.000364412
73,65.4327,0.41981,0.3732,0.95309,0.94978,0.88688,0.90068,0.82286,0.3887,0.33908,0.88059,0.000352037,0.000352037,0.000352037
74,66.2078,0.46056,0.37387,0.97448,0.95484,0.8638,0.90138,0.82374,0.39152,0.33691,0.87947,0.000339766,0.000339766,0.000339766
75,67.065,0.3994,0.34833,0.94637,0.95391,0.8638,0.90655,0.83837,0.37456,0.32889,0.87627,0.000327608,0.000327608,0.000327608
76,67.8319,0.41699,0.35065,0.96131,0.95415,0.88151,0.91111,0.84474,0.36049,0.31535,0.87193,0.000315572,0.000315572,0.000315572
77,68.9265,0.38376,0.33548,0.95239,0.94766,0.89845,0.9131,0.85214,0.35337,0.30794,0.86987,0.000303665,0.000303665,0.000303665
78,70.0295,0.40453,0.34238,0.93858,0.9722,0.89317,0.91463,0.86126,0.36042,0.30195,0.86829,0.000291897,0.000291897,0.000291897
79,71.6177,0.3896,0.33474,0.92684,0.97218,0.89271,0.91471,0.86088,0.35428,0.30119,0.86835,0.000280275,0.000280275,0.000280275
80,72.4067,0.40252,0.35585,0.95682,0.97217,0.89249,0.91571,0.86437,0.34719,0.29419,0.87275,0.000268806,0.000268806,0.000268806
81,73.7361,0.36967,0.33677,0.92235,0.96466,0.88676,0.91603,0.86638,0.34129,0.29068,0.87328,0.0002575,0.0002575,0.0002575
82,74.8571,0.4068,0.37063,0.94008,0.9663,0.87306,0.91542,0.85648,0.33878,0.28797,0.86878,0.000246363,0.000246363,0.000246363
83,75.6814,0.38171,0.33933,0.92816,0.96487,0.87306,0.91263,0.85212,0.33353,0.29233,0.86328,0.000235404,0.000235404,0.000235404
84,76.4474,0.38545,0.32871,0.94547,0.96601,0.87306,0.91131,0.85381,0.32767,0.29507,0.85936,0.000224629,0.000224629,0.000224629
85,77.2923,0.37049,0.31371,0.93281,0.97354,0.87102,0.91041,0.85304,0.32175,0.28948,0.85519,0.000214046,0.000214046,0.000214046
86,78.3499,0.38509,0.32159,0.95173,0.97931,0.85627,0.90958,0.84898,0.3222,0.29238,0.85427,0.000203663,0.000203663,0.000203663
87,79.1256,0.36493,0.30901,0.92169,0.97802,0.85619,0.9102,0.84781,0.32221,0.30207,0.84902,0.000193486,0.000193486,0.000193486
88,79.983,0.35759,0.3115,0.90647,0.97807,0.85693,0.91069,0.84905,0.32114,0.30515,0.84519,0.000183523,0.000183523,0.000183523
89,80.766,0.36047,0.29637,0.93501,0.97671,0.87073,0.91155,0.85371,0.32027,0.29513,0.84603,0.00017378,0.00017378,0.00017378
90,81.5589,0.36675,0.31862,0.93818,0.97628,0.87274,0.91305,0.85493,0.31576,0.28933,0.84795,0.000164264,0.000164264,0.000164264
91,82.4641,0.34652,0.31052,0.92982,0.97358,0.87306,0.91099,0.85216,0.32205,0.29592,0.85159,0.000154982,0.000154982,0.000154982
92,83.3614,0.36422,0.30279,0.91461,0.98194,0.87306,0.9104,0.85381,0.32046,0.29543,0.85551,0.00014594,0.00014594,0.00014594
93,84.1429,0.33879,0.30299,0.91591,0.98654,0.87306,0.90925,0.85521,0.31548,0.2895,0.85566,0.000137143,0.000137143,0.000137143
94,85.0095,0.38989,0.3272,0.96704,0.99132,0.8701,0.9022,0.85031,0.30845,0.28674,0.8529,0.000128599,0.000128599,0.000128599
95,85.8009,0.3655,0.31225,0.93323,0.98908,0.86977,0.90168,0.85127,0.30534,0.28525,0.85281,0.000120313,0.000120313,0.000120313
96,86.5817,0.32828,0.29794,0.92173,0.98569,0.86977,0.90217,0.85336,0.30268,0.28332,0.85263,0.00011229,0.00011229,0.00011229
97,87.3981,0.34168,0.30313,0.8994,0.98477,0.86997,0.90231,0.85365,0.3012,0.27686,0.85291,0.000104537,0.000104537,0.000104537
98,88.2544,0.40406,0.33815,0.93895,0.98808,0.85587,0.90162,0.84999,0.30016,0.27861,0.85253,9.70575e-05,9.70575e-05,9.70575e-05
99,89.0289,0.36149,0.31359,0.91741,0.98768,0.85559,0.90727,0.85572,0.2969,0.2748,0.85014,8.98581e-05,8.98581e-05,8.98581e-05
100,89.8005,0.33596,0.30005,0.90336,0.98707,0.85533,0.90817,0.85703,0.29567,0.27196,0.84675,8.29431e-05,8.29431e-05,8.29431e-05
101,90.6538,0.35367,0.31519,0.93154,0.9857,0.85519,0.90858,0.86068,0.29435,0.27821,0.84393,7.63174e-05,7.63174e-05,7.63174e-05
102,91.4805,0.34945,0.28434,0.91298,0.99688,0.84989,0.90867,0.86165,0.29439,0.28406,0.84259,6.99855e-05,6.99855e-05,6.99855e-05
103,92.3025,0.33445,0.30722,0.92212,0.99826,0.8509,0.90881,0.8625,0.29497,0.28286,0.84201,6.39518e-05,6.39518e-05,6.39518e-05
104,93.0714,0.34966,0.29629,0.93724,0.99713,0.85069,0.91011,0.86405,0.29902,0.2816,0.84076,5.82203e-05,5.82203e-05,5.82203e-05
105,93.9772,0.34288,0.30028,0.90987,0.96428,0.87306,0.90956,0.86122,0.30164,0.27469,0.84014,5.2795e-05,5.2795e-05,5.2795e-05
106,94.7609,0.35471,0.29129,0.92223,0.96293,0.87306,0.91017,0.85733,0.30483,0.27342,0.84096,4.76796e-05,4.76796e-05,4.76796e-05
