model,confidence,tp,fp,fn,precision,recall,f1,detection_accuracy,map50,map50_95,laptop_tp,laptop_fp,laptop_fn,laptop_precision,laptop_recall,laptop_f1,mouse_tp,mouse_fp,mouse_fn,mouse_precision,mouse_recall,mouse_f1
pretrained,0.15,24,6,9,0.8,0.7272727272727273,0.761904761904762,0.6153846153846154,0.8611111111111112,0.8197796783625731,7,4,1,0.6363636363636364,0.875,0.7368421052631579,17,2,8,0.8947368421052632,0.68,0.7727272727272727
finetuned,0.2,31,3,2,0.9117647058823529,0.9393939393939394,0.9253731343283583,0.8611111111111112,0.911,0.852900019614253,7,1,1,0.875,0.875,0.875,24,2,1,0.9230769230769231,0.96,0.9411764705882353
